State,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charge,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,"General expenditure, by function:",Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
United States,"2,164,783,757","1,860,022,717","605,936,104","911,430,397","286,022,820","144,686,219","52,053,120","336,558,465","48,611,989","43,497,784","201,657,398","140,998,818","14,721,154","8,019,928","282,019,958","2,161,619,675","525,656,115","1,635,963,560","1,140,270,210","128,560,655","275,453,824","45,846,598","45,832,273","253,951,011","2,161,619,675","1,847,036,766","525,656,115","1,321,380,651",,"644,358,177","613,060,688","73,644,622","56,423,488","122,417,249","15,267,432","51,170,621","21,571,818","6,060,428","60,365,692","43,335,944","91,670,367","44,043,312","6,480,423","275,453,824","1,155,113,383","2,996,239,475"
Alabama,"28,169,117","26,154,103","10,034,425","9,755,439","2,463,912","2,472,137","493,883","3,336,587","533,586","455,334","4,676,644","1,687,595",,"308,180","1,706,834","32,459,306","6,735,925","25,723,381","17,833,570","2,011,264","3,462,691","2,051,649","364,207","4,551,491","32,459,306","28,710,747","6,735,925","21,974,822",,"12,235,527","8,204,660","2,370,549","414,116","1,631,748","155,814","555,852","266,925","22,088","629,174","364,207","1,295,634",135,"285,733","3,462,691","9,125,828","33,224,902"
Alaska,"8,367,410","7,662,076","2,642,995","1,363,350",0,"255,971","115,886",0,"227,852","763,641","655,667","3,000,064","16,828",,"688,506","13,006,370","2,036,112","10,970,258","7,747,540","1,510,811","1,261,313","196,622","253,972","1,703,855","13,006,370","11,580,917","2,036,112","9,544,805",,"2,703,274","2,113,211","68,984","283,698","1,271,514","161,965","340,726","375,310","23,949","752,588","250,304","3,167,319","164,140",,"1,261,313","5,727,891","81,597,312"
Arizona,"36,186,053","31,741,122","13,381,875","13,721,262","6,105,909","1,779,646","458,737","3,760,883","690,960","925,127","2,665,387","1,972,598","27,589",,"4,417,342","32,740,773","8,806,986","23,933,787","17,096,774","1,491,099","4,134,315","893,247","318,352","3,871,849","32,740,773","28,577,420","8,806,986","19,770,434",,"10,452,117","10,346,172","64,560","625,316","1,966,947","259,768","1,097,103","271,972","62,436","860,196","316,529","375,596","29,237",,"4,134,315","14,243,659","49,063,153"
Arkansas,"21,601,684","19,387,350","7,036,670","9,168,570","3,182,211","1,228,129","384,306","2,664,153","476,553","1,233,218","2,207,187","974,923",,,"2,214,334","21,780,585","5,830,224","15,950,361","12,317,235","1,131,361","1,897,612","467,159","136,994","2,906,342","21,780,585","19,882,973","5,830,224","14,052,749",,"8,162,327","6,572,760","871,039","243,532","1,468,304","107,112","351,802","309,742","69,724","712,491","136,994","563,813","1,509",,"1,897,612","4,985,140","27,978,734"
California,"317,407,713","265,499,211","82,907,118","151,234,534","38,464,704","13,947,655","9,420,863","77,929,551","9,007,182","2,464,579","21,373,082","9,984,477","1,002,780",,"50,905,722","320,288,030","97,968,328","222,319,702","151,981,870","10,183,475","47,828,113","4,930,538","7,395,706","31,552,990","320,288,030","269,774,501","97,968,328","171,806,173",,"90,276,519","109,031,702","10,633,226","8,177,522","10,529,860","1,790,672","9,667,904","3,809,737","529,286","7,485,654","7,168,706","9,235,789","3,370,176",,"47,828,113","151,715,007","451,011,171"
Colorado,"32,159,564","26,263,114","7,965,566","12,747,749","2,817,773","1,926,871","680,739","6,360,629","669,054","292,683","3,664,814","1,884,985",,,"5,896,450","32,229,154","7,016,188","25,212,966","16,630,495","1,775,347","5,288,924","791,023","727,177","4,904,187","32,229,154","26,917,961","7,016,188","19,901,773",,"10,988,746","7,927,080","827,482","427,722","1,879,658","178,366","1,022,917","324,030","109,113","1,019,190","707,944","1,359,673","30,203",,"5,288,924","16,921,492","50,415,991"
Connecticut,"29,423,621","26,965,679","7,055,731","16,184,490","4,082,787","2,471,563","452,687","8,182,071","650,014","345,368","2,215,335","1,510,123","41,250",,"2,416,692","27,260,850","5,863,356","21,397,494","12,944,652","2,113,879","4,417,559","500,977","1,420,427","4,457,321","27,260,850","22,311,191","5,863,356","16,447,835",,"7,728,457","4,256,901","1,416,163","949,526","1,545,053","256,502","700,694","233,057","95,438","1,624,180","1,420,427","1,557,078","532,100",,"4,417,559","35,195,398","32,519,043"
Delaware,"8,169,909","7,567,443","1,980,640","3,513,916",0,"498,557","1,389,894","1,140,248","400,746","84,471","1,154,571","918,316","21,273",,"581,193","8,854,841","1,473,380","7,381,461","5,675,085","477,892","672,483","318,913","237,088","1,380,842","8,854,841","8,045,313","1,473,380","6,571,933",,"3,027,509","2,288,305","90,693","406,718","336,002","140,054","304,986","77,046","43,580","485,408","237,088","575,892","138,758",,"672,483","4,964,915","11,483,390"
Florida,"90,694,982","80,794,569","26,142,295","37,217,759","21,800,895","8,535,420","2,138,834",0,"2,237,500","2,505,110","9,041,463","8,393,052","23,874",,"9,876,539","84,802,960","17,114,443","67,688,517","49,598,163","7,011,605","8,431,259","1,418,383","1,229,107","8,846,670","84,802,960","76,164,790","17,114,443","59,050,347",,"25,023,832","25,776,510","1,054,547","3,663,682","7,955,847","551,849","2,475,144","1,137,917","170,547","2,365,730","1,229,107","3,760,477","258,495",,"8,431,259","33,368,651","134,804,515"
